DistCode,District,College Code,College Name,Branch,OC,BCM,BC,MBC,SCA,SC,ST
3,COIMBATORE,2704,COIMBATORE INSTITUTE OF ENGINEERING AND TECHNOLOGY,MECHANICAL ENGINEERING,156.5,119.0,138.5,106.75,0.0,84.75,0.0
3,COIMBATORE,2704,COIMBATORE INSTITUTE OF ENGINEERING AND TECHNOLOGY,INFORMATION TECHNOLOGY,101.0,0.0,0.0,0.0,0.0,0.0,0.0
3,COIMBATORE,2704,COIMBATORE INSTITUTE OF ENGINEERING AND TECHNOLOGY,MECHATRONICS,152.75,122.5,129.5,81.75,0.0,143.0,0.0
3,COIMBATORE,2704,COIMBATORE INSTITUTE OF ENGINEERING AND TECHNOLOGY,ELECTRONICS AND COMMUNICATION ENGG.,132.5,0.0,97.5,93.75,0.0,0.0,0.0
3,COIMBATORE,2704,COIMBATORE INSTITUTE OF ENGINEERING AND TECHNOLOGY,ELECTRICAL AND ELECTRONICS ENGG.,91.5,0.0,0.0,0.0,0.0,0.0,0.0
3,COIMBATORE,2704,COIMBATORE INSTITUTE OF ENGINEERING AND TECHNOLOGY,CIVIL ENGINEERING,152.25,94.5,113.0,96.5,0.0,90.25,0.0
3,COIMBATORE,2007,COIMBATORE INSTITUTE OF TECHNOLOGY (AUTONOMOUS),COMPUTER SCIENCE AND ENGG.,198.0,195.5,197.5,196.0,188.5,190.25,185.25
3,COIMBATORE,2007,COIMBATORE INSTITUTE OF TECHNOLOGY (AUTONOMOUS),MECHANICAL ENGINEERING,198.5,196.5,198.25,197.5,192.0,194.25,189.75
3,COIMBATORE,2007,COIMBATORE INSTITUTE OF TECHNOLOGY (AUTONOMOUS),ELECTRONICS AND COMMUNICATION ENGG. (SS),197.5,195.5,197.5,196.25,185.75,191.25,174.5
3,COIMBATORE,2007,COIMBATORE INSTITUTE OF TECHNOLOGY (AUTONOMOUS),COMPUTER SCIENCE AND ENGG.(SS),197.5,195.25,197.25,195.5,184.5,187.75,177.0
3,COIMBATORE,2007,COIMBATORE INSTITUTE OF TECHNOLOGY (AUTONOMOUS),INFORMATION TECHNOLOGY(SS),197.0,194.75,196.75,195.0,182.75,184.75,0.0
3,COIMBATORE,2007,COIMBATORE INSTITUTE OF TECHNOLOGY (AUTONOMOUS),ELECTRONICS AND COMMUNICATION ENGG.,198.25,197.0,198.0,197.0,189.75,193.25,0.0
